0,1,2,3,4
OVER 60 VICTIM COUNT,,,,
Crime Type,2022,,2021,2020
Advanced Fee,,"3,153","3,029","3,008"
BEC,,"3,938","3,755","3,530"
(Reporting a potential business loss),,"2,552","2,143",--
(Reporting a personal loss),,"1,386","1,612",--
Botnet *,,33,--,--
Confidence/Romance,,"7,166","7,658","6,817"
Credit Card/Check Fraud,,"4,956","3,164","3,195"
Crimes Against Children,,84,42,58
Data Breach,,333,158,285
Employment,,"1,286","1,408","1,867"
Extortion,,"4,285","5,987","23,100"
Government Impersonation,,"3,425","3,319","4,159"
Harassment/Stalking *,,754,--,--
IPR/Copyright and Counterfeit,,235,686,552
Identity Theft,,"4,825","8,902","7,581"
Investment,,"4,661","2,104","1,062"
Lottery/Sweepstakes/Inheritance,,"2,388","2,607","3,774"
Malware,,125,134,287
Non-payment/Non-Delivery,,"7,985","13,220","14,534"
Other,,"2,016","2,933","3,259"
Overpayment,,"1,183","1,448","2,196"
Personal Data Breach,,"7,849","6,189","6,121"
Phishing,,"4,168","5,831","7,353"
Ransomware,,215,365,365
Real Estate,,"1,862","1,764","1,882"
SIM Swap *,,301,--,--
Spoofing,,"4,201","3,936","7,279"
Tech Support,,"17,810","13,900","9,429"
Threats of Violence *,,166,719,"1,699"
Cryptocurrency/Cryptocurrency Wallet,,"9,991","5,109","9,447"
*New Crime Type added in 2022.,,,,
