0,1,2,3,4,5
,VICTIMS OVER 60 BY STATE*,,,,
Rank,State,Victims,Rank,State,Victims
1,California,"11,517",30,Utah,741
2,Florida,"8,480",31,New Mexico,728
3,Texas,"5,674",32,Louisiana,721
4,New York,"4,239",33,Arkansas,649
5,Arizona,"3,543",34,Iowa,557
6,Ohio,"3,099",35,Kansas,472
7,Colorado,"2,925",36,Idaho,466
8,Pennsylvania,"2,901",37,Maine,459
9,Illinois,"2,495",38,Hawaii,399
10,Virginia,"2,447",39,New Hampshire,372
11,New Jersey,"2,368",40,Mississippi,356
12,Washington,"2,335",41,West Virginia,340
13,Michigan,"2,243",42,Nebraska,335
14,Georgia,"2,005",43,South Dakota,331
15,North Carolina,"1,959",44,Alaska,316
16,Nevada,"1,914",45,Delaware,305
17,Maryland,"1,724",46,Montana,295
18,Massachusetts,"1,653",47,Rhode Island,219
19,Missouri,"1,503",48,Wyoming,209
20,Tennessee,"1,462",49,District of Columbia,195
21,Oregon,"1,314",50,Puerto Rico,190
22,South Carolina,"1,312",51,Vermont,188
23,Minnesota,"1,185",52,North Dakota,109
24,Indiana,"1,172",53,United States Minor Outlying Islands,21
25,Wisconsin,"1,029",54,"Virgin Islands, U.S.",19
26,Kentucky,937,55,Guam,15
27,Alabama,916,56,American Samoa,8
28,Connecticut,908,57,Northern Mariana Islands,2
29,Oklahoma,790,,,
