0,1,2,3
,VICTIM OVER 60 LOSSES WITH A CRYPTOCURRENCY NEXUS,,
Crime Type,Loss,Crime Type,Loss
Investment,"$716,466,087",Lottery/Sweepstakes/Inheritance,"$3,517,513"
Tech Support,"$166,138,710",Other,"$3,479,107"
Confidence/Romance,"$93,483,020",Extortion,"$3,461,352"
Personal Data Breach,"$58,734,792",Employment,"$956,324"
Government Impersonation,"$19,955,542",Overpayment,"$499,037"
SIM Swap,"$11,211,168",BEC,"$465,534"
Phishing,"$5,603,806",Malware,"$69,963"
Spoofing,"$5,315,101",Harassment/Stalking,"$51,240"
Advanced Fee,"$4,902,036",Ransomware,"$37,500"
Real Estate,"$4,590,165",Threats of Violence,"$21,769"
Credit Card/Check Fraud,"$4,560,408",IPR/Copyright and Counterfeit,"$3,135"
Non-payment/Non-Delivery,"$4,526,507",Crimes Against Children,"$1,300"
Identity Theft,"$3,816,394",Botnet,$0
Data Breach,"$3,622,102",,
